Distance,Number of neighbours,Number of parts of the signal,F1 score,Precision,Recall
manhattan,2,1,0.799206349206349,0.83265306122449,0.8
manhattan,6,1,0.767099567099567,0.771428571428571,0.771428571428571
manhattan,2,3,0.750425621176853,0.775903424306786,0.752380952380952
manhattan,4,1,0.744516594516595,0.775850340136054,0.742857142857143
euclidean,2,1,0.744516594516595,0.775850340136054,0.742857142857143
euclidean,2,3,0.68989686478095,0.733448379351741,0.695238095238095
manhattan,4,3,0.684861459203564,0.731076875194522,0.704761904761905
euclidean,6,1,0.683508554937126,0.730612244897959,0.685714285714286
euclidean,4,3,0.682341017608378,0.710115046018407,0.695238095238095
euclidean,4,1,0.668140589569161,0.713492063492063,0.657142857142857
manhattan,6,3,0.654659026274588,0.712785114045618,0.676190476190476
manhattan,2,2,0.63252541291116,0.645959595959596,0.642857142857143
manhattan,4,2,0.630992578849722,0.655844155844156,0.642857142857143
euclidean,6,3,0.63052795991062,0.669701427481748,0.638095238095238
euclidean,2,2,0.622476646160857,0.642857142857143,0.628571428571429
euclidean,4,2,0.617876582070955,0.674634888920603,0.628571428571429
manhattan,6,2,0.616259151882097,0.644331858617573,0.628571428571429
euclidean,6,2,0.613087473391687,0.646171289028432,0.614285714285714
manhattan,9,"(30, 20)",0.610291045517351,0.620347741986656,0.608433734939759
euclidean,13,"(30, 20)",0.609178900923691,0.619994476221592,0.607016300496102
euclidean,9,"(30, 20)",0.607368353844089,0.619553870450527,0.604890148830617
euclidean,20,"(30, 20)",0.605281499679757,0.614842288898864,0.60347271438696
manhattan,6,"(30, 20)",0.602978156626509,0.61421087214048,0.600283486888731
manhattan,13,"(30, 20)",0.602142415346032,0.613381775278267,0.600283486888731
euclidean,6,"(30, 20)",0.600662372359524,0.614023165873813,0.597448618001417
manhattan,29,"(30, 20)",0.599544652960849,0.608989237107803,0.597802976612332
manhattan,20,"(30, 20)",0.59873889352251,0.609822831500712,0.597094259390503
euclidean,4,"(30, 20)",0.598063937432589,0.609940801224217,0.594968107725018
euclidean,29,"(30, 20)",0.595486552705355,0.606935929706164,0.593196314670447
manhattan,4,"(30, 20)",0.593172263486114,0.60439619218409,0.590007087172218
manhattan,43,"(30, 20)",0.585919568948232,0.598597036294614,0.584691708008505
euclidean,43,"(30, 20)",0.585038706862849,0.597139888132232,0.583982990786676
euclidean,64,"(30, 20)",0.57560754030535,0.589868529794151,0.573706591070163
manhattan,64,"(30, 20)",0.574734242538813,0.587580565095621,0.573706591070163
euclidean,2,"(30, 20)",0.573615290192384,0.584219718291694,0.570871722182849
manhattan,2,"(30, 20)",0.57016256633965,0.580521743191866,0.567328136073707
