Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Distance,Number of neighbours,Number of parts of the signal,F1 score,Precision,Recall
2023-09-14 11:59:32,0.6s,b08f13d0daeb494d95cb5176e3659a1b,run number 4,LOCAL,main.py,mila,FINISHED,manhattan,3,1,0.9595959595959596,0.9666666666666667,0.96
2023-09-14 11:59:34,0.6s,a2f3b5eb5d704cfb9d537a2b55f632c2,run number 6,LOCAL,main.py,mila,FINISHED,manhattan,7,1,0.9191919191919191,0.9333333333333335,0.92
2023-09-14 11:59:32,0.6s,f9302fea5a1747a8863449f1e70a4971,run number 3,LOCAL,main.py,mila,FINISHED,euclidean,7,1,0.9191919191919191,0.9333333333333335,0.92
2023-09-14 11:59:31,0.5s,b4717e895f4e4d2e9e540dbe48c98128,run number 2,LOCAL,main.py,mila,FINISHED,euclidean,5,1,0.9191919191919191,0.9333333333333335,0.92
2023-09-14 11:59:31,0.8s,bbd60e36111842f1bf3a4d0319ed1076,run number 1,LOCAL,main.py,mila,FINISHED,euclidean,3,1,0.9191919191919191,0.9333333333333335,0.92
2023-09-14 11:59:33,0.6s,c4927c1995d04fa9900826086716a04f,run number 5,LOCAL,main.py,mila,FINISHED,manhattan,5,1,0.8791919191919192,0.8933333333333334,0.88
2023-09-14 11:59:37,472ms,2d33204d692f4daba90e83781c0bc2cf,run number 12,LOCAL,main.py,mila,FINISHED,manhattan,7,2,0.8732832080200501,0.915151515151515,0.88
2023-09-14 11:59:36,470ms,f1eaaa4e9c9348c986652c931b98d584,run number 10,LOCAL,main.py,mila,FINISHED,manhattan,3,2,0.8532832080200501,0.895151515151515,0.86
2023-09-14 11:59:35,476ms,ef0b6b623d194e33982f0533692edbd1,run number 8,LOCAL,main.py,mila,FINISHED,euclidean,5,2,0.8532832080200501,0.895151515151515,0.86
2023-09-14 11:59:34,0.5s,1ccd72da4a314536ab059044235de0ce,run number 7,LOCAL,main.py,mila,FINISHED,euclidean,3,2,0.8532832080200501,0.895151515151515,0.86
2023-09-14 11:59:35,482ms,af3dc2d6d0564f54b7fd3fb282d22707,run number 9,LOCAL,main.py,mila,FINISHED,euclidean,7,2,0.848081742818585,0.9068181818181819,0.86
2023-09-14 11:59:38,457ms,fbe42652b40045ea9e01f6ccff7d8857,run number 16,LOCAL,main.py,mila,FINISHED,manhattan,3,3,0.8341666666666666,0.8515987933634993,0.84
2023-09-14 11:59:36,463ms,102ce4ca27c240cb8196e92fd0cee9cc,run number 11,LOCAL,main.py,mila,FINISHED,manhattan,5,2,0.8280817428185849,0.8868181818181818,0.84
2023-09-14 11:59:37,469ms,52b7288da51f43f3897977c5f16ed75c,run number 13,LOCAL,main.py,mila,FINISHED,euclidean,3,3,0.8193518518518518,0.839327731092437,0.8266666666666667
2023-09-14 11:59:39,446ms,6211fa98b511438fb1a7e84f8f5bb14e,run number 18,LOCAL,main.py,mila,FINISHED,manhattan,7,3,0.7992917917917918,0.8161675579322638,0.8133333333333334
2023-09-14 11:59:38,443ms,8214607efe87407486e9a50ee1cf560b,run number 15,LOCAL,main.py,mila,FINISHED,euclidean,7,3,0.7804282077108164,0.7937316604963663,0.8
2023-09-14 11:59:38,453ms,2692556cef96454585169abfd96e32ee,run number 14,LOCAL,main.py,mila,FINISHED,euclidean,5,3,0.7692733664185276,0.7779640947288006,0.7866666666666666
2023-09-14 11:59:39,486ms,092955a70c9d4e1ebcb66d2422e2a994,run number 17,LOCAL,main.py,mila,FINISHED,manhattan,5,3,0.7678103103103103,0.777278669043375,0.7866666666666666
2023-09-14 11:59:48,0.8s,9764b26640294b92aac6248389c77be5,run number 29,LOCAL,main.py,mila,FINISHED,manhattan,5,"(30, 20)",0.7230233020665823,0.7303481636837021,0.7261849976990336
2023-09-14 11:59:49,0.8s,f115f1d89c604d91a2d5b6c656e5f2c1,run number 30,LOCAL,main.py,mila,FINISHED,manhattan,7,"(30, 20)",0.7179454119355693,0.7252218957641581,0.7215830648872527
2023-09-14 11:59:41,0.8s,dc0e9f1602464d7fb9aa1c9350c89660,run number 20,LOCAL,main.py,mila,FINISHED,euclidean,5,"(30, 20)",0.7167510881544106,0.7227484555035933,0.7197422917625402
2023-09-14 11:59:47,0.8s,a2cd747968c44e5ab1546dea43193e4c,run number 28,LOCAL,main.py,mila,FINISHED,manhattan,3,"(30, 20)",0.7138288043090948,0.7170501910652476,0.7151403589507593
2023-09-14 11:59:40,0.7s,fe8dc37406d543f7b4cd1e14b35229a7,run number 19,LOCAL,main.py,mila,FINISHED,euclidean,3,"(30, 20)",0.7130525830105882,0.7172149188461956,0.7142199723884032
2023-09-14 11:59:41,0.8s,7723881d85bf49fbb7297247d4012b82,run number 21,LOCAL,main.py,mila,FINISHED,euclidean,7,"(30, 20)",0.7122566851041126,0.7210931658526067,0.7156005522319374
2023-09-14 11:59:42,0.8s,41cb1bbcddd9495a8fc685f434282ddc,run number 22,LOCAL,main.py,mila,FINISHED,euclidean,9,"(30, 20)",0.7115239117210219,0.7191639958352598,0.7151403589507593
2023-09-14 11:59:49,0.8s,f8c682961c4f4048ab4d9295f4b6ad8a,run number 31,LOCAL,main.py,mila,FINISHED,manhattan,9,"(30, 20)",0.7102295420573691,0.7194566552561287,0.7142199723884032
2023-09-14 11:59:43,0.8s,7fb7f9222a584f10900b8bd561e8aa70,run number 23,LOCAL,main.py,mila,FINISHED,euclidean,13,"(30, 20)",0.7080915210943066,0.7169962263979655,0.7119190059825127
2023-09-14 11:59:50,0.8s,75e03736ca6b498885cad11d7772a3d7,run number 32,LOCAL,main.py,mila,FINISHED,manhattan,13,"(30, 20)",0.7074644537819427,0.7181851118025137,0.7123791992636908
2023-09-14 11:59:51,0.8s,4f3abb2ffd914a51902b6fc806e7efd4,run number 33,LOCAL,main.py,mila,FINISHED,manhattan,21,"(30, 20)",0.7042894499601154,0.7168070314065399,0.7096180395766222
2023-09-14 11:59:44,0.8s,bb1ad3818a6e47c7a91b5ed36ce05998,run number 24,LOCAL,main.py,mila,FINISHED,euclidean,21,"(30, 20)",0.7020144891020879,0.714384479205642,0.7063966866083755
2023-09-14 11:59:52,0.8s,694215075084453cb3ec30052423cb46,run number 34,LOCAL,main.py,mila,FINISHED,manhattan,29,"(30, 20)",0.6974003904982711,0.7108996150404393,0.7031753336401289
2023-09-14 11:59:45,0.8s,d866da0425e7471e97190f3819cc8c78,run number 25,LOCAL,main.py,mila,FINISHED,euclidean,29,"(30, 20)",0.6965286091085853,0.7099907650378328,0.7013345605154164
2023-09-14 11:59:53,0.8s,de889e0ca95548878afeb426d51900d2,run number 35,LOCAL,main.py,mila,FINISHED,manhattan,43,"(30, 20)",0.692251285035449,0.7101881736672904,0.699033594109526
2023-09-14 11:59:45,0.8s,7b7d5501dbd64bc1ac8df90080d60ec2,run number 26,LOCAL,main.py,mila,FINISHED,euclidean,43,"(30, 20)",0.6902718736464944,0.7065751009606157,0.6962724344224575
